latitude,longitude,Name,Status,MapLabel,MW,Project_Type,Owner,County,City,State,Zip,Cogen_Status,OldName,MapIcon
42.436149,-122.849501,Biomass One LP,Operational,Biomass One LP,30,Biomass solid fuel,?,Jackson County,WHITE CITY,OR,97503,cogen,,grn_circle
40.879724,-121.720406,BURNEY FOREST POWER,Operational,Burney Forest Power,31,Biomass solid fuel,Burney Forest Products,Shasta County,BURNEY,CA,96013,cogen,,grn_circle
40.302842,-121.244088,COLLINS PINE CO. PROJECT,Operational,Collins Pine Biomass Power,12,Biomass solid fuel,Collins Companies,Plumas County,CHESTER,CA,96020,cogen,,grn_circle
40.481337,-124.104634,EEL RIVER,Operational,Greenleaf Eel River Power,28,Biomass solid fuel,Greenleaf Power (Recycled Energy Development),Humboldt County,SCOTIA,CA,95565,cogen,Scotia Power,grn_circle
40.473227,-122.328937,KIARA SOLAR (WHEELABRATOR HUDSON),Operational,Shasta Renewables,7.2,Biomass solid fuel,Kiara Solar,Shasta County,ANDERSON,CA,96007,cogen,Wheelabrator Hudson,grn_circle
41.434612,-122.377895,ROSEBURG FOREST PRODUCTS,Operational,Roseburg Forest Products Biomass Power,12,Biomass solid fuel,Roseburg,Siskiyou County,WEED,CA,96094,cogen,,grn_circle
35.953929,-119.046308,SIERRA POWER CORP.,Operational,Sierra Biomass Power Corp.,9.5,Biomass solid fuel,Sierra Forest Products,Tulare County,TERRA BELLA,CA,93270,cogen,Terra Bella,grn_circle
40.876759,-121.701845,SPI  BURNEY,Operational,SPI Burney Biomass Power,20,Biomass solid fuel,SPI,Shasta County,BURNEY,CA,96013,cogen,,grn_circle
40.472715,-122.323162,SPI ANDERSON,Operational,SPI Anderson Biomass Power,4,Biomass solid fuel,SPI,Shasta County,ANDERSON,CA,96007,cogen,,grn_circle
40.47185,-122.324034,SPI ANDERSON PROJECT,Active project,SPI Anderson Biomass Power Project,31,Biomass solid fuel,SPI,Shasta County,ANDERSON,CA,96007,cogen,,red_circle
38.902678,-121.309604,SPI LINCOLN,Operational,SPI Lincoln Biomass Power,18,Biomass solid fuel,SPI,Placer County,LINCOLN,CA,95648,cogen,,grn_circle
39.940962,-120.909161,SPI QUINCY,Operational,SPI Quincy Biomass Power,25,Biomass solid fuel,SPI,Plumas County,QUINCY,CA,95971,cogen,,grn_circle
37.965999,-120.318,SPI STANDARD,Operational,SPI Sonora Standard Biomass Power,8,Biomass solid fuel,SPI,Tuolumne County,SONORA,CA,95373,cogen,,grn_circle
40.805519,-124.195843,FRESHWATER PULP,Non-operational,Freshwater Pulp Biomass Power,50,Chemical recovery,Bob Simpson?,Humboldt County,SAMOA,CA,,cogen,Evergreen pulp,wht_circle
37.912473,-121.261706,AIR PRODUCTS STOCKTON,Idle,Air Products Stockton Biomass Power,45,"Co-fire or conversion (from coal, petcoke or TDF)",Air Products,San Joaquin County,STOCKTON,CA,95206,cogen,,ylw_circle
37.943945,-121.330053,DTE STOCKTON (POSDEF),Operational,DTE Stockton Biomass Power,45,"Co-fire or conversion (from coal, petcoke or TDF)",DTE Energy Services,San Joaquin County,STOCKTON,CA,95201,cogen,,grn_circle
35.576448,-119.005818,MT. POSO COGENERATION,Operational,DTE Mt. Poso Cogen,44,"Co-fire or conversion (from coal, petcoke or TDF)",DTE Energy Services,Kern County,BAKERSFIELD,CA,93308,cogen,,grn_circle
35.741508,-119.050911,RIO BRAVO JASMIN,Proposal,Rio Bravo Jasmin Proposed Conversion,40,"Co-fire or conversion (from coal, petcoke or TDF)",NAPG,Kern County,BAKERSFIELD,CA,,cogen,,purple_circle
35.547497,-119.075265,RIO BRAVO POSO,Proposal,Rio Bravo Poso Proposed Conversion,40,"Co-fire or conversion (from coal, petcoke or TDF)",NAPG,Kern County,BAKERSFIELD,CA,,cogen,,purple_circle
